r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,sodio
14,Aceite,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite comestible,1,cucharadita,5,5,44,0,5,0,0,
14,Aceite de aguacate,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de ajonjolí,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de almera,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de cachuate,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de cacao,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de canola,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de cártamo,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de coco,1,cucharadita,5,5,43,0,5,0,0,0
14,Aceite de girasol,1,cucharadita,5,5,44,0,5,0,0,0
14,"Aceite de girasol 60% con ácido
linoleico",1,cucharadita,5,5,44,0,5,0,0,0
14,"Aceite de girasol 70% con ácido
aleico",1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de hígado de bacalao,1,cucharadita,5,5,45,0,5,0,28.6,0
14,Aceite de maíz,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de oliva,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de oliva extra virgen,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de olivo,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de palma,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de soya,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite de soya y algodón,1,cucharadita,5,5,44,0,5,0,0,0
14,Aceite en spray,5,disp.de un seguo,5,5,44,0,5,0,0,0
14,Aceituna negra sin hueso,5,pieza,25,25,46,0.3,5,0.8,0,600
14,Aceituna verde con hueso,6,pieza,30,25,46,0.3,5.1,0.8,0,604.8
14,Aceituna verde sin hueso,8,pieza,24,24,44,0.3,4.8,0.8,0,576
14,Aceitunas rellenas de anchoa,5,pieza,25,25,46,0.6,4.5,0.8,0,600
14,Aceitunas rellenas de pimiento,7,pieza,35,35,44,0,3.5,2.6,0,306.3
14,Aderezo,3,cucharada,45,45,48,0,4.5,2.1,2.7,354
14,Aderezo blue cheese,0.5,cucharada,8,8,38,0.4,3.9,0.6,2.1,82
14,Aderezo con queso y ajo,0.5,cucharada,8,8,33,0,3.8,0.2,0,77.3
14,Aderezo cremoso,0.5,cucharada,8,8,38,0.4,3.9,0.6,2.1,82
14,Aderezo de ciruela pasas,0.5,cucharada,8,8,39,0.1,3.9,1.1,0.7,35.7
14,Aderezo de hierbas finas,0.5,cucharada,8,8,31,0.1,3.2,0.8,0.3,73
14,Aderezo de mayonesa,0.5,cucharada,7,7,51,0.1,5.4,0.3,1,41.8
14,Aderezo de miel y mostaza,0.5,cucharada,8,8,36,0,3.6,1,0,48.4
14,Aderezo francés,0.5,cucharada,8,8,32,0,3.1,1.3,1.6,102.7
14,Aderezo italiano,0.5,cucharada,8,8,35,0.1,3.6,0.8,2.1,59
14,Aderezo italiano bajo en calorías,3,cucharada,45,45,48,0,4.5,2.1,2.7,354
14,Aderezo italiano cremoso,0.5,cucharada,8,8,28,0,2.8,0.8,0,57.5
14,"Aderezo italiano cremoso bajo en
calorías",4,cucharada,60,60,40,2,2.2,6,0,560
14,Aderezo jalapeño,0.5,cucharada,8,8,33,0.1,3.4,0.7,11.1,30.4
14,Aderezo mil islas,0.5,cucharada,8,8,28,0,2.7,1.1,1.9,52.5
14,Aderezo ranch,0.5,cucharada,8,8,44,0,4.7,0.5,1.3,69.8
14,Aderezo roquefort,0.5,cucharada,8,8,38,0.4,3.9,0.6,1.5,82
14,Aderezo ruso,0.5,cucharada,8,8,37,0.1,3.8,0.8,1.5,65
14,Aderezo tipo blue cheese,0.5,cucharada,8,8,38,0.4,3.9,0.6,1.5,82
14,Aderezo tipo cesar,0.5,cucharada,8,8,33,0.3,3.3,0.5,1.3,95.5
14,Aderezo tipo francés,0.5,cucharada,8,8,32,0,3.1,1.3,0,102.7
14,Aderezo tipo mil islas,0.5,cucharada,8,8,28,0,2.7,1.1,1.9,52.5
14,Aderezo tipo ranch,0.5,cucharada,8,8,44,0,4.7,0.5,1.3,69.8
14,Aderezo vinagreta casera,2,cucharada,10,10,45,0,5,0.3,0,0
14,Aderezo vinagreta comercial,4,cucharadita,20,20,41,0,3.3,2.7,0,166.7
14,Aguacate California,0.3,cucharadita,58,58,54,0.7,5.3,2.1,0,3.7
14,Aguacate de pellejo,1.5,pieza,68,68,44,0.5,4.5,2,0,1.4
14,Aguacate florida,0.3,pieza,101,101,60,0.8,4.8,4.8,0,2.6
14,Aguacate hass,0.3,pieza,58,58,54,0.7,5.3,2.1,0,3.7
14,Aguacate madiano,0.3,pieza,58,58,44,0.5,4.1,2.3,0,1.2
14,Aguacate verde,0.5,pieza,48,48,46,0.5,4.6,1.5,0,1
14,Calahua,1,cucharada,19,19,35,0.5,3.3,1.6,0,9.4
14,Coco,8,g,8,8,41,0.5,4.3,0.9,0,0
14,Coco de aceite,8,g,8,8,41,0.5,4.3,0.9,0,0
14,Coco deshidratado,6,g,6,6,40,0.4,3.9,1.5,0,2.1
14,Coco en hojuelas,2,cucharada,9,9,44,0.3,3,4.4,0,23.6
14,Coco entero,25,g,25,14,42,0.5,4.6,0.7,0,3.2
14,Coco fresco,12,g,12,12,42,0.4,4,1.8,0,2.4
14,Coco rallado,1.5,cucharada,9,9,44,0.3,3.1,4.2,0,22.9
14,Coco rallado y eulzado,1.5,cucharada,9,9,44,0.3,3.1,4.2,0,22.9
14,Ccoc seco,1.5,cucharada,9,9,44,0.3,3.1,4.2,0,22.9
14,Coco seco y eulzado,1.5,cucharada,9,9,44,0.3,3.1,4.2,0,22.9
14,Coquito,8,g,8,6,41,0.5,4.3,0.9,0,0
14,Crema,1,cucharada,15,15,43,0,3.2,2.1,10.7,0
14,Crema 20% grasa (dulce),1.3,cucharada,21,21,41,0.6,4.1,0.8,14,8.5
14,Crema 40% grasa (agria),1,cucharada,13,13,45,0.3,4.8,0.4,17.8,4.9
14,Crema ácida,2,cucharada,21,21,46,0.7,4.4,0.9,8.8,10.5
14,Crema agria,1,cucharada,13,13,44,0.3,4.8,0.4,17.6,4.9
14,Crema batida,1.5,cuchrada,12,12,42,0.2,4.4,0.3,16.8,4.8
14,Crema batida en aerosol,5,cucharada,15,15,40,0.5,3.5,2,10,20
14,Creama chantilly,1.5,cucharada,12,12,42,0.2,4.4,0.3,16.8,4.8
14,Creama de coco dulce,3,cucharadita,19,19,36,0.2,3.1,10.1,0,6.8
14,Creama de coco natural,3,cucharadita,15,15,50,0.5,5.2,1,0,0.6
14,Crema de leche en polvo,4,cucharadita,8,8,44,0.4,2.8,4.4,0,14.5
14,Creama dulce,4,cucharadita,19,19,36,0.5,3.6,0.7,12.3,7.5
14,Crema dulce para batir,4,cucharadita,19,19,36,0.5,3.6,0.7,12.3,7.5
14,Crema entera,1,cucharada,14,14,41,0.3,4.3,0.4,15.9,4.7
14,Crema Lala Light,5,cucharada,80,80,39,0.8,3.4,1.4,,0
14,Crema ligera,1,cucharada,14,14,41,0.3,4.3,0.4,15.9,4.7
14,Crema natural,1,cucharada,15,15,43,0,3.2,2.1,10.7,0
14,Crema para batir,1.5,cucharada,21,21,41,0.6,4.1,0.8,13.9,8.4
14,Crema para café,1,cucharada,14,14,41,0.3,4.3,0.4,15.9,4.7
14,Dip,2,cucharada,30,30,48,1,3.9,1.9,19.4,154.8
14,Dip de cebolla,2,cucharada,30,30,48,1,3.9,1.9,19.4,154.8
14,Dip preparado,2,cucharada,30,30,48,1,3.9,1.9,19.4,154.8
14,Dip preparado con crema,2,cucharada,30,30,48,1,3.9,1.9,19.4,154.8
14,Grasa de tocino,5,g,5,5,44,0,5,0,4.8,0
14,Grasas animales,5,g,5,5,44,0,5,0,4.8,0
14,Grasas vegetales para cocinar,5,g,5,5,44,0,5,0,0,0
14,Guacamole,2,cucharada,28,28,46,1,3.7,2.7,0,195.7
14,Lardo,5,g,5,5,45,0,5,0,4.8,0
14,Manteca de cerdo,1,cucharadita,4,4,39,0,4.3,0,4,0
14,Manteca vegetal,1,cucharadita,4,4,38,0,4.3,0,0,0
14,Mantequilla,1.5,cucharadita,6,6,47,0.1,5.3,0,14.2,0.6
14,Mantequilla con sal,1.5,cucharadita,6,6,47,0.1,5.3,0,14.2,53.6
14,Mantequilla derretida,1,cucharadita,5,5,36,0,4.1,0,11,0.5
14,Mantequilla Lala Reducida en grasa,7,cucharada,84,84,32,0.2,3.4,0.2,,11.8
14,Mantequilla sin sal,1.5,cucharadita,6,6,47,0.1,5.3,0,14.2,0.6
14,Margarita,1,cucharadita,4,4,39,0,4.3,0,2.3,0
14,Margarita baja en grasa,2.5,cucharadita,11,11,42,0,5,0,0,108.3
14,Margarita con sal,1.5,cucharadita,6,6,47,0.1,5.2,0.1,0,61.2
14,Margarita sin sal,1,cucharadita,4,4,39,0,4.3,0,2.3,0
14,Mayonesa,1,cucharadita,5,5,34,0.1,3.6,0.2,12.1,27.8
14,Media crema,2,cucharada,30,30,40,0.8,3.4,1.2,12,12
14,Pam,5,disp.de un seguo,5,5,44,0,5,0,0,0
14,Praliné,0.5,cucharada,8,8,36,0.2,1.9,5,0,4.9
14,Queso crema,1,cucharada,13,13,46,1,4.6,0.4,14.4,39
14,Queso crema bajo en grasa,1,cucharada,13,13,32,1.1,3,0.3,6.1,51.1
14,Queso crema untable,1,cucharada,10,10,37,0.7,3.7,0.3,11.6,31.6
14,Queso Philadelphia,1,cucharada,13,13,46,1,4.6,0.4,14.4,39
14,Salsa alfredo,1,cucharada,14,14,44,0.7,4.3,0.8,7,50.8
14,Salsa holaesa iustrializada,0.5,cucharada,8,8,44,0.9,3.7,2.6,9.4,292
14,Salsa tártara iustrializada,1,cucharadita,16,16,52,0,5.2,2.1,5.2,93
14,Salsa tártara sin grasa,4,cucharada,62,62,48,0,2,9.7,0,406.9
14,Salsa velouté,1.5,cucharada,21,21,38,0.6,3.4,1.1,8.6,98.3
14,Tocino,1,rebanada delgada,8,8,44,0.7,4.6,0,5.4,54.8
14,Tocino ahumado,1,rebanada delgada,8,8,44,0.7,4.6,0,5.4,54.8
14,Tocino en lonja,8,g,8,8,44,0.7,4.6,0,5.4,54.8
14,Tocino frito,1,rebanada,7,7,39,0.6,4,0,5.7,48
14,Tocino imitación,1,cucharada,10,10,41,1,3.9,0.1,6.7,96.7
14,Vinagreta,0.5,cucharada,8,8,36,0,4,0.2,0,0
14,Vinagreta baja en calorías,5,cucharada,80,80,38,0,0,7.5,0,1000
14,Vinagreta comercial,1.5,cucharada,23,23,46,0,3.8,3,0,187.5
