r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,hierro,sodio,selenio
7,Aguja de res,35,g,35,33,51,6.8,2.6,0,20.6,77.5,3,0.6,20.9,6.6
7,Arenque cocido,25,g,25,25,51,5.8,2.9,0,19.3,9,18.5,0.4,28.8,11.7
7,Arenque fresco crudo,35,g,35,35,55,6.3,3.2,0,21,9.8,20,0.4,31.5,12.8
7,Arrachera cruda,35,g,35,35,49,7.5,1.9,0,11.6,0,8.4,0.5,19.3,9.2
7,Arrachera de res cruda,30,g,30,30,56,8.4,2.2,0,14.7,0,5.4,0.5,17.1,9.6
7,Atún blanco en aceite,30,g,30,30,56,8,2.4,0,7,1.2,0.8,0.1,91.2,18
7,Barbacoa,50,g,50,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
7,Barbacoa con hueso,65,g,65,38,51,7.2,2.3,0,24.5,0,2.6,0.8,28.3,14.3
7,Bistec de ternera,35,g,35,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
7,Bonito,60,g,60,31,51,7.3,2.2,0,0,0,8,0.2,12.2,4.3
7,Bonito en aceite,25,g,25,25,55,7.3,2.9,0,11.7,0,7.2,0.3,0,4
7,Bonito filereado,30,g,30,30,50,7.2,2.2,0,0,0,7.8,0.2,12,4.2
7,Cabeza de carnero cocida,495,g,495,50,55,7,2.8,0,32.2,0,8.4,1,37.1,18.8
7,Cabeza de cerdo,495,g,495,50,55,7,2.8,0,32.2,0,8.4,1,37.1,14.1
7,Carne de cerdo,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,13.2
7,Carne de cerdo molida,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
7,Carne de ganzo de crianza,40,g,40,32,52,7.4,2.3,0,27.2,3.9,4.2,0.8,28.2,5.4
7,Carne de pato de crianza,60,g,60,39,51,7.1,2.3,0,30,9.4,4.3,0.9,28.9,5.4
7,Carne de res (promedio),30,g,30,30,54,6.2,3,0,19.5,1.8,3.6,0.9,19.5,5.9
7,Carne de ternera,35,g,35,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
7,Carne molida de cerdo,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,9.8
7,Carne promedio,30,g,30,29,51,5.9,2.9,0,18.5,1.7,3.4,0.9,18.5,5.7
7,Carnero,50,g,50,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
7,Carnero con hueso,65,g,65,38,51,7.2,2.3,0,24.5,0,2.6,0.8,28.3,14.3
7,Carpa,75,g,75,41,51,7.2,2.3,0,26.7,3.8,16.7,0.5,20,5.7
7,Carpa cocida,30,g,30,30,49,6.8,2.2,0,25.1,2.8,15.5,0.5,19.1,5.4
