r_tipo,alimentos,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,sodio,azucar,iice_glicemico,carga_glicemica
4,Barra Choco Krispis,1,barra,19,19,17,1,1.5,15,0.5,0,0,0,90.6,,,
4,"Barra de fruta con Avena
fresa",30,g,30,30,120,1.6,4.8,17.7,1.9,0,0,0,54.9,,,
4,Barra multigrano linaza,20,g,20,20,99,1.9,4.8,12,1.4,0,0,0,36.9,,,
4,Barra zucaritas,1,barra,21,21,90,1,2,16,0.5,0,0,0,100,,,
4,"Barra Chewy para niños
varios sabores",1,paquete,23,23,95,1.6,2.3,17,1.5,0,0,0,69.9,,,
4,Barrita marinela,20,g,20,20,91,0.7,3.8,13.4,0.2,0,0,0,32.5,,,
4,Base para pay,20,g,20,20,110,1,8,9,0,0,0,0.4,150,,,
4,"Bigote relleno de
chocolate",0.3,pieza,21,21,93,1.5,4.6,11.3,0.4,0,0,0,55.2,,,
4,Bimbuñuelos,2,pieza,30,30,120,0.9,5.8,16,0,0,0,0,103.6,,,
4,"Botanas con proteinas de
amaranto",0.5,bolsa,20,20,101,1.5,5.8,10.1,0.5,0,0,0,100.4,,,
4,Charritos de amaranto,0.5,bolsa,20,20,101,1.5,5.8,10.1,0.5,0,0,0,100.4,,,
4,Cheescake,1,rebanada,30,30,96,1.7,6.8,7.7,0.1,0,0,0,0,,,
4,Cheetos,20,g,20,20,110,0.8,7.2,10.4,0,0,0,0,128,,,
4,Cheetos poffs,20,g,20,20,106,1.6,6.4,10.4,0.6,0,0,0,158,,,
4,Chetos torciditos,20,g,20,20,108,1,7,10.2,0.4,0,0,0,126,,,
4,"Chicharrón de harina
enchilado",0.5,bolsa,23,23,106,2.1,5.6,12.5,0.9,0,0,0,0,,,
4,Chips ahoy,2,pieza,19,19,91,1,4,12.6,0.3,0,0,0,65.9,,,
4,Choco chispas,4,pieza,18,18,93,1,0.2,12.7,0.2,0,0,0,49.2,,,
