r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,indice_glicemico,carga_glicemica,azucar,sodio
3,Alegría natural,5,cucharadita,21,21,74,2.7,1.5,13.5,1.4,0,0.5,0.7,,,,0
3,Alegría tostada,4,cucharadita,16,16,63,2.2,1.3,11.7,1.6,0,47.9,0.3,,,,0
3,Amaranto tostado,0.25,taza,16,16,63,2.2,1.3,11.6,1.6,0,47.5,0.3,,,,0
3,"Anillos de trigo azucarados de
colores",0.5,taza,16,16,63,1,0.6,13.4,0.2,0,1.5,2.3,,,,53.5
3,Barquillo,1.5,pieza,15,15,64,1.1,1.1,12,0.4,0,3.8,0.5,,,,22.5
3,Birote,0.3,pieza,22,22,67,2.1,0,14.1,0.1,0,9.1,0.3,,,,123.3
3,Bolillo,0.3,pieza,20,20,61,1.9,0,12.8,0.1,0,8.3,0.2,,,,112.7
3,Bolillo integral,0.3,pieza,20,20,64,2.1,0.1,13.4,0.2,0,12.3,0.6,,,,68.5
3,"Cereal de maíz reventado con
azúcar",0.5,taza,16,16,59,0.5,0.5,13.6,0.6,0,25.8,9.9,,,,620
3,"Cereales de maíz reventado
sabor chocolate y crema de
cacahucate",0.3,taza,14,14,61,0.9,1.6,10.6,0.6,0,46.7,2.3,,,,93.3
3,"Coditos con crema
deshidratados",1.5,cucharada,15,15,61,1.9,1.5,9.6,0,0,0,0.2,,,,122.9
3,Cúrcuma,160,g,160,138,73,5.6,0,13.2,1.7,0,70.2,16.8,,,,0
3,Bolillo integral sin migajón,0.3,pieza,20,20,64,2.1,0.1,13.4,0.2,0,12.3,0.6,,,,68.5
3,Bolillo sin migajón,0.3,pieza,20,20,61,1.9,0,12.8,0.1,0,8.3,0.2,,,,112.7
3,Camote con miel,0.3,taza,59,59,59,0.3,0,14.4,1.2,0,4.3,0.2,,,,7.6
3,Camote con naranja,0.2,taza,40,40,61,0.2,0,15.2,0,0,3.3,0.1,,,,4.2
3,"Cereal de galleta de chispa de
chocolate",0.5,taza,15,15,60,0.5,0.8,13,0.6,0,50,2.3,,,,85
3,Fécula de maíz,2,cucharada,16,16,60,0,0,14.4,0,0,0,0,,,,0
3,Fécula de maíz de sabor,2,cucharada,16,16,60,0,0,14.4,0,0,0,0,,,,0
3,Fibra uno,0.5,taza,30,30,60,2,1,25,14.2,0,100,4.5,,,,105
3,Fideo con tomate deshidratado,2,cucharada,20,20,72,2.6,1,13.3,0,0,0,0.3,,,,399.4
3,Fideo seco deshidratado,2,cucharada,20,20,72,2.6,1,13.3,0,0,0,0.3,,,,399.4
3,Galletas para sopa,14,pieza,18,18,70,1.2,1.8,12.8,0,0,0,0,,,,268.3
3,"Galletas de maíz horneadas sin
grasa (salmas)",3,pieza,18,18,64,1.4,0.6,13,1.4,0,0,0,,,,67.9
3,Gluten de trigo,3,cucharada,18,18,68,7.5,0.3,8.5,0,0,7.2,0,,,,0.4
3,Harina de cebada,2,cucharada,18,18,62,2.2,0.3,10.9,2.2,0,0,0,,,,0.4
3,Harina de centeno,2,cucharada,18,18,63,2.1,0.3,13.6,0.2,0,4.9,0.5,,,,0.2
3,Harina de maíz para atole,2,cucharada,15,15,60,1.2,0.8,11.8,0.2,0,5.3,0.4,,,,0
3,Harina de maíz para tamales,2,cucharada,14,14,62,1.4,0.7,12.7,0.1,0,19.4,0.5,,,,0.1
3,Harina nixtamalizada,2.5,cucharada,18,18,67,1.3,0.8,13.8,1.7,0,24.9,0.7,,,,0.2
3,Harina para reposteria,2,cucharada,16,16,60,1.7,0.2,12.6,0.1,0,5,0,,,,0.3
3,Harina para tamales,2,cucharada,14,14,62,1.4,0.7,12.7,0.1,0,19.4,0.5,,,,0.1
