r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,sodio,azucar
13,"ALF* para beber fresa con
Lactobacillus casei Shirota",1,envase,215,215,185,6.2,3.2,32.3,0,0,341.9,96.8,31.2
13,"ALF* para beber mango con
Lactobacillus casei Shirota",1,envase,215,215,155,6.2,0.4,31.4,0,0,337.6,96.8,29.2
13,"ALF* para beber natural con
Lactobacillus casei Shirota",1,envase,213,213,141,6,1.3,26.4,0,0,334.4,98,24.3
13,"Alimento lácteo fermentado con
Actiregularis sabor Ciruela Pasa
(bebible)",1,pieza,250,250,211,5.8,6.8,31.7,,,200.4,0,31.5
13,"Alimento lácteo fermentado con
Actiregularis sabor Ciruela Pasa
(sólido)",1.3,pieza,200,200,206,6.2,6.4,30.9,,,203,94.7,30.7
13,"Alimento lácteo fermentado con
Actiregularis sabor fresa (bebible)",1,pieza,250,250,211,5.8,6.8,32,,,200.4,0,31.8
13,"Alimento lácteo fermentado con
Actiregularis sabor fresa (sólido)",1.3,pieza,200,200,188,7,6.4,25.5,,,255.4,94.7,25.3
13,"Alimento lácteo fermentado sabor
fresa (Lactobacillus casei y
Streptococcus thermophilus)",2,pieza,216,216,188,7.8,4.4,29.6,,,231.1,92.9,29.6
13,"Alimento lácteo fermentado sabor
manzana (Lactobacillus casei y
Streptococcus thermophilus)",2,pieza,216,216,161,8.2,0.4,31.2,,,250.6,97.2,30.2
13,"Alimento lácteo fermentado sabor
natural (Lactobacillus casei y
Streptococcus thermophilus)",2,pieza,216,216,161,8.6,0.4,31,,,263.5,103.7,28.1
13,Bio 4,2,pieza,240,240,180,6.2,3.1,31.4,,,,96,
13,Chongos zamoranos,0.5,taza,108,108,194,6.5,3.2,34.6,10.8,21.6,220.3,54,30.2
13,Helado de café,0.5,taza,91,91,195,3.4,10,25.5,30.8,106.8,98.6,68.8,23
13,Helado de café bajo en calorías,0.5,taza,91,91,183,4.8,6.6,27,37.3,,143.8,68.3,21.9
13,Helado de chocolate,0.75,taza,99,99,214,3.8,10.9,27.9,33.7,114.8,107.9,75.2,25.1
13,"Helado de chocolate bajo en
calorías",0.75,taza,99,99,199,5,7.1,28.7,9.9,59.4,157.4,70.3,24.5
13,Helado de fresa,0.75,taza,99,99,190,3.2,8.3,27.3,28.7,95,118.8,59.4,22.9
13,Helado de fresa bajo en calorías,0.6,taza,123,123,200,6,5.7,31.2,18.5,539.3,208.6,87.6,28.1
13,Helado de vainilla,0.75,taza,99,99,199,3.5,10.9,23.4,43.6,114.8,126.7,79.2,21
13,Helado de vainilla bajo en calorías,1,taza,132,132,218,6.3,6.4,34.1,13.2,167.6,212.5,97.7,29.2
13,Helado de yogur,1,taza,158,158,201,4.8,5.7,34.2,20.6,60.2,158.3,99.8,33.9
13,Helado de yogur de fresa,1,taza,158,158,201,4.8,5.7,34.2,20.6,60.2,158.3,99.8,33.9
13,Helado napolitano,0.75,taza,102,102,205,3.6,11.2,24.1,44.9,120.4,130.6,81.6,21.5
13,Helado napolitano bajo en calorías,0.6,taza,119,119,192,5.6,5.2,31.1,16.7,,188.7,82.4,26.8
13,Leche con chocolate,1,taza,240,240,200,7.6,8.2,24.9,29.8,151.2,268.8,143,22.9
