r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,colesterol,vitaminaa,calcio,sodio
10,"ALF fresa con lactobacillus casei
Shirota",1.5,envase,159,159,96,6.4,0.3,17.1,,,223.5,81
10,"ALFmango con lactobacillus casei
Shirota",1.5,envase,159,159,96,6.4,0.3,16.9,,,223.5,81
10,"ALF manzana con lactobacillus
casei Shirota",1.5,envase,159,159,90,6.4,0.3,15.4,,,222,82.5
10,Leche Alpura Ligh Extra,1,taza,240,240,103,8,2.4,14,0,144,336,134.4
10,Leche de soya,1,taza,240,240,79,6.6,4.6,4.3,0,7,10,29
10,Leche descremada,1,taza,245,245,86,8.4,0.4,11.9,4,149,302,126
10,Leche descremada con chocolate,1,taza,240,240,77,5.8,1,12.5,0,0,297.6,115.2
10,Leche descremada en polvo,4,cucharada,30,30,109,10.8,0.2,15.6,6,2,377,161
10,"Leche descremada en polvo.
recucida en Ca",4,cucharada,30,30,107,10.8,0.1,15.8,1.1,1.1,84.6,262.1
10,Leche en polvo descremada,4,cucharada,30,30,109,10.8,0.2,15.6,6,2,377,161
10,Leche evaporada descremada,0.5,taza,120,120,94,9,0.4,13.5,3.8,138.8,348.8,138.8
10,Leche evaporada semidescremada,0.5,taza,120,120,94,7.5,1.9,11.3,18.8,0,300,131.3
10,Leche Lala Extracalcio Light,1,taza,240,240,113,9.1,2.4,13.7,,,364.8,144
10,Leche Lala Light,1,taza,240,240,96,7.5,2.4,11.1,,,247.7,120
10,Leche Lala Siluette Plus,1,taza,240,240,83,7.5,0.5,13.6,,,269.8,149.8
10,Leche Lala Vive con fibra,1,taza,240,240,91,7.5,1.2,15,,,247.7,120
10,Leche Lala Vive Deslactosada ligth,1,taza,240,240,85,7.5,1.2,11.1,,,247,120
10,Leche light Extra,1,taza,240,240,103,8,2.4,14,0,144,336,134.4
10,Natilla Lala Siluette Plus,1,pieza,125,125,88,6.3,0.5,14.6,0,0,206.3,137.5
10,"PLF sin azúcar con Lactobacillus
casie Chirota",2,envase,160,160,60,2,0.1,16.8,,,74,26
10,Vitalinez bebible,1,pieza,250,250,75,6.7,0,11.5,0,0,205.5,0
10,Vitalinea sólido,1,pieza,150,150,66,6.3,0,9.9,0,0,165.8,0
10,Yoghur bajo en grasa,0.3,taza,75,75,83,2.7,0.8,16,5,0,99,36.6
10,Yoghur Lala Light batido,1.5,pieza,188,188,90,7.3,0.4,14.4,,,240,178.5
10,Yoghur Lala Light bebible,1,pieza,250,250,85,7.3,0.5,13,,,255,100
10,Yoghur Lala Siluette Plus de fruta,1,pieza,250,250,85,7.3,0.5,13,0,0,255,100
10,Yoghur Lala Vive con fribra 0%,1,pieza,250,250,90,6.5,0.5,16,0,0,200,100
10,Yoghur light,0.75,taza,180,180,95,6.4,0,15.9,5.3,0,158.8,100.6
10,Yoghur light de fruta,0.75,taza,180,180,95,5.3,0,16.9,5.3,0,211.8,79.4
10,"Yoghur para beber con fruta BAJA
EN CALORIAS",1,pieza,250,250,80,5.5,0,14,0,0,200,82.5
